id,vayu,source,answer,desc
19,【T2】,第一届随蓝知识竞赛,唐寅,"“吴门四家”“吴中四才子”“六如居士”“桃花庵主”都与这位画家、诗人有关。"
20,【J3】,第一届随蓝知识竞赛,贾探春,"这是红楼梦中的人物，为庶出。她创立了海棠诗社，住在秋爽斋。结局是远嫁海疆。"
21,【C4】,第一届随蓝知识竞赛,澶渊之盟,"这是北宋与辽在经过25年战争后缔结的盟约。"
22,【F4】,第一届随蓝知识竞赛,淝水之战,"这是一场战役，成语风声鹤唳、草木皆兵均出自对这场战役的描述。"
23,【W2】,第一届随蓝知识竞赛,围棋,"1.361 2.go 3.烂柯 4.手谈"
24,【L7】,第一届随蓝知识竞赛,绿杨阴里白沙堤,"这句诗写了白居易在西湖最喜欢的景物。是《钱塘湖春行》的最后一句。"
25,【J6】,第一届随蓝知识竞赛,惊起一滩鸥鹭,"这句词是作者酒后迷路所导致的后果。出自一首《如梦令》。"
26,【M5】,第一届随蓝知识竞赛,满纸荒唐言,"这是红楼开篇的一句诗，下句是“一把辛酸泪”。"
27,【W2】,第一届随蓝知识竞赛,韦庄,"他是花间派的代表人物，也是韦应物的四世孙。代表作是《秦妇吟》。"
28,【H2】,第一届随蓝知识竞赛,荷兰,"1.橙色 2.郁金 3.海牙 4.风车"
29,【H7】,第一届随蓝知识竞赛,何当共剪西窗烛,"这个问句是李商隐思念妻子所发出的感慨。这句诗演化出了一个成语“剪烛西窗”。"
30,【E3】,第一届随蓝知识竞赛,二十三,"1.刘禹锡 2.箜篌 3.糖瓜 4.数字"
31,【W4】,第一届随蓝知识竞赛,为人作嫁,"这个成语比喻空替别人辛苦，出自秦韬玉的《贫女》，诗中有名句“苦恨年年压金线”。"
32,【B5】,第一届随蓝知识竞赛,毕达哥拉斯,"这位古希腊哲学家、数学家提出的一个定理在中国称为勾股定理。"
33,【D7】,第一届随蓝知识竞赛,点水蜻蜓款款飞,"这句诗描写了一种昆虫产卵的现象。上句是“穿花蛱蝶深深见”。"
34,【H3】,第一届随蓝知识竞赛,华尔兹,"这是一种舞蹈形式，采用3/4拍音乐，也称圆舞，用字母W表示，因其首字母为W。"
35,【Y2】,第一届随蓝知识竞赛,氧化,"这个词狭义上是指物质获得某种元素的过程，广义上是物质失去电子的过程。"
36,【G3】,第一届随蓝知识竞赛,龟虽寿,"这是曹操《步出夏门行》的一首，表达了作者老当益壮的情怀。“老骥伏枥”出自这首诗。"
37,【C7】,第一届随蓝知识竞赛,吹面不寒杨柳风,"这是诗僧志南的一句诗，写的是春风。朱自清在《春》中引用过。"
38,【Z3】,第一届随蓝知识竞赛,竹里馆,"这是王维曾住的一个地方，因周围有竹林而得名。“独坐幽篁里”出自同名诗。"
39,【X5】,第一届随蓝知识竞赛,夕阳无限好,"这是李商隐登上乐游原后看到的景象。"
40,【F3】,第一届随蓝知识竞赛,粉刷匠,"这是一首波兰儿歌，歌曲只有5个音，歌名是一个职业。主人公的鼻子最后变了样。"
41,【D9】,第一届随蓝知识竞赛,但闻燕山胡骑鸣啾啾,"这是一句乐府诗，写了主人公离开黄河后所听到的军队声。出自《木兰辞》。"
42,【H2】,第一届随蓝知识竞赛,贺铸,"这位词人因其貌不扬被称为“鬼头”，因著名的“梅子黄时雨”被称为“贺梅子”。"
43,【B7】,第一届随蓝知识竞赛,不尽长江滚滚流,"这是辛弃疾在北固亭所写，与杜甫《登高》一句只差一字，描写长江的气势。"
44,【S7】,第一届随蓝知识竞赛,塞上燕脂凝夜紫,"这句诗写的是血迹。作者将战场夜晚的暗紫色血迹比作了化妆品。出自《雁门太守行》。"
45,【W3】,第一届随蓝知识竞赛,文天祥,"这位诗人曾中状元，也曾带兵作战，最终以身殉国。这位南宋诗人有“留取丹心照汗青”的抱负。"
46,【Y6】,第一届随蓝知识竞赛,应是绿肥红瘦,"这句词是对一个设问句的回答。描写的对象是海棠。"
47,【G4】,第一届随蓝知识竞赛,高锰酸钾,"这是一种强氧化剂，固体为黑色，溶液为紫色，加热分解可以产生氧气。"
48,【G2】,第一届随蓝知识竞赛,郭嘉,"这位谋士原为袁绍部下，后转投曹操，为曹操立下了不少功勋，却英年早逝，在逝世前他献上遗计帮曹操平定辽东。"
49,【Q7】,第一届随蓝知识竞赛,千里江陵一日还,"这句诗定量描述了行舟的迅速，郦道元在《水经注》（三峡）中提出过同一条路线。"
50,【T7】,第一届随蓝知识竞赛,天涯何处无芳草,"这句诗是个反问句，表达的是机会很多，不要过分注重某一事物或人。出自苏轼的《蝶恋花》。"
51,【C7】,第一届随蓝知识竞赛,侧身西望长咨嗟,"这句诗写出了从长安通往蜀地的艰难。是李白《蜀道难》最后一句。"
52,【Z7】,第一届随蓝知识竞赛,知有儿童挑促织,"这句诗写了夜深时屋中灯还亮着灯的原因：有孩子在斗蛐蛐。"
53,【S2】,第一届随蓝知识竞赛,色散,"这个词指复色光通过棱镜时，各种色光传播方向有不同程度的偏折的现象，也是彩虹的形成原理。"
54,【F4】,第一届随蓝知识竞赛,风花雪月,"这个成语可以形容爱情之事和空洞的诗文，也指大理四景。"
55,【B4】,第一届随蓝知识竞赛,白令海峡,"它既沟通了两个大洋，也是两个大洲的分界线。国际日界线经过了它。"
56,【M3】,第一届随蓝知识竞赛,茉莉花,"这是一种植物，江苏有以此为名的民歌，称它为“满园花开也香不过它”。"
57,【R5】,第一届随蓝知识竞赛,人迹板桥霜,"这句诗描写了寒冷的清晨出行的景象，郑燮的号出自这句诗。出自温庭筠的《商山早行》。"
58,【X6】,第一届随蓝知识竞赛,肖申克的救赎,"这部电影改编自同名小说，写了主人公安迪的40年监狱生涯，监狱的名字叫Shawshank。"
59,【J7】,第一届随蓝知识竞赛,即从巴峡穿巫峡,"这是杜甫听闻收复河北后规划的回家路线。"
60,【Y7】,第一届随蓝知识竞赛,衣带渐宽终不悔,"这句诗描写了一个人消瘦的过程，是王国维提出的的人生第二境界。"
61,【H7】,第一届随蓝知识竞赛,化作春泥更护花,"这句诗表达了作者脱离官场仍不忘报国之志。以落花作为比喻。作者是清朝诗人龚自珍。"
62,【C7】,第一届随蓝知识竞赛,春蚕到死丝方尽,"这句情诗表达了矢志不渝的爱情，但总有人拿来比喻老师。含有一种会上蔟的生物。"
63,【Z2】,第一届随蓝知识竞赛,桌面,"这个词指打开计算机并登录到系统之后看到的显示器主屏幕区域。英文叫desktop。"
64,【G3】,第一届随蓝知识竞赛,坩埚钳,"这是一种化学仪器，用耐火材料制作，可用来夹取瓷制仪器，如蒸发皿、坩埚。"
65,【G4】,第一届随蓝知识竞赛,格陵兰岛,"这个岛屿终年严寒，属于丹麦，是世界上最大的岛。"
66,【Y3】,第一届随蓝知识竞赛,鱼玄机,"这位诗人与温庭筠为忘年交，是唐朝四大女诗人之一，有“易求无价宝，难得有情郎”的名句。"
67,【Q4】,第一届随蓝知识竞赛,巧笑倩兮,"这是诗经中的一句，虽是形容美貌，但孔子给了“绘事后素”的解释。下句是“美目盼兮”。"
68,【Z7】,第一届随蓝知识竞赛,纸上得来终觉浅,"这句诗说明实践是检验真理的唯一标准。是陆游写给小儿子。下句是“绝知此事要躬行”。"
69,【L3】,第一届随蓝知识竞赛,连连看,"这是一个游戏，目标是用三根以内的线连接相同的两个方块以消除屏幕上所有方块。"
70,【X3】,第一届随蓝知识竞赛,西江月,"这个词牌正体为双调五十字，名字在李白《苏台览古》中有提及，“稻花香里说丰年”便出自该词牌。"
71,【G7】,第一届随蓝知识竞赛,故穿庭树作飞花,"这句诗与“杨花榆荚无才思，惟解漫天作雪飞”修辞手法相同，描写对象相反。上句是“白雪却嫌春色晚”。"
72,【J2】,第一届随蓝知识竞赛,蒋捷,"这位词人被称为“樱桃进士”，因其有名句“红了樱桃，绿了芭蕉”。"
73,【Z2】,第一届随蓝知识竞赛,舴艋,"这种交通工具因为体积像某种动物一样小而得名。李清照曾想过去双溪划它"
74,【S7】,第一届随蓝知识竞赛,疏影横斜水清浅,"这个名句描写了花的姿态，林逋改前人“竹影”为“疏影“所得。"
75,【W4】,第一届随蓝知识竞赛,兀兀穷年,"这个成语出自《进学解》，指辛辛苦苦地一年到头勤劳不懈。常与焚膏继晷连用。"
76,【J3】,第一届随蓝知识竞赛,金缕衣,"这是一首劝勉人们要珍惜时间的诗。诗名是件衣服。有名句“劝君惜取少年时”"
77,【D7】,第一届随蓝知识竞赛,但悲不见九州同,"这句诗出自一首绝笔，写了陆游临死前所挂念的事。"
78,【Q3】,第一届随蓝知识竞赛,乞骸骨,"这是一种辞官的说法，意思是请求归葬故乡，安度晚年。"
79,【G2】,第一届随蓝知识竞赛,冠词,"这是英语词性中最小的一类，只有a，an，the三个。"
80,【H2】,第一届随蓝知识竞赛,滑稽,"这个词最早是一种流酒器，现在的意思是“荒唐，可笑”，也是一个著名网络表情。"
81,【M7】,第一届随蓝知识竞赛,莫愁前路无知己,"这句诗出自一首送别诗，作者告诉这位做音乐家的朋友，不要担心未来的道路上没有知心朋友。"
82,【G2】,第一届随蓝知识竞赛,国债,"这种投资方式被公认为是最安全的投资工具。因为它由国家发行。也称国家公债。"
83,【E3】,第一届随蓝知识竞赛,二进制,"这是莱布尼兹提出的，广泛运用于计算机领域的计数方法。只用了0和1两个数码。"
84,【E4】,第一届随蓝知识竞赛,二十四桥,"这是杜牧、姜夔写过的古代扬州著名景点，新修为单孔拱桥。"
85,【M4】,第一届随蓝知识竞赛,明治维新,"这场改革始于1868年，它使日本成为亚洲第一个走上工业化道路的国家。"
86,【H3】,第一届随蓝知识竞赛,花青素,"这是一类色素，广泛存在于植物中，能使花瓣呈现五彩缤纷的颜色。"
87,【R5】,第一届随蓝知识竞赛,人比黄花瘦,"这句词写于重阳，是李清照的“三瘦”之一。"
88,【L7】,第一届随蓝知识竞赛,落月摇情满江树,"这是《春江花月夜》的最后一句，上句是“不知乘月几人归”。"
89,【M2】,第一届随蓝知识竞赛,木兰,"1.植物 2.传奇 3.玉楼春 4.从军"
90,【Y2】,第一届随蓝知识竞赛,余切,"在直角三角形中，它是任意一角的邻边和对边之比，和它的正切互为倒数。"
91,【N5】,第一届随蓝知识竞赛,能饮一杯无,"这句诗是一个问句，是作者雪天发出的邀请，他邀请一位姓刘的朋友共饮。"
92,【Q6】,第一届随蓝知识竞赛,气体摩尔体积,"这个量在温度和压强确定时是一个常量，它表示单位物质的量的气体所占的体积。"
93,【T4】,第一届随蓝知识竞赛,同旁内角,"这是两条直线被第三条直线所截，在截线同一边，且在被截线之内的两角。在平行直线中这两个角互补。"
94,【T2】,第一届随蓝知识竞赛,骰子,"1.骨头 2.6 3.红豆 4.博彩"
95,【J6】,第一届随蓝知识竞赛,江畔独步寻花,"这组诗共七首，作者是杜甫，表达了他对花的热爱，以写黄四娘家那首最为有名。"
96,【S7】,第一届随蓝知识竞赛,山雨欲来风满楼,"这句诗有种“前方高能”的气氛，指重大变化来临前的迹象。作者是许浑，上句是“溪云初起日沉阁。"
97,【W5】,第一届随蓝知识竞赛,吾爱孟夫子,"这是一句“告白”，李白用直接抒情的手法表达了对孟浩然的欣赏"
98,【H2】,第一届随蓝知识竞赛,昏线,"这条线与太阳光线垂直，是地球顺着自转方向，由昼半球进入夜半球的线。"
99,【Y4】,第一届随蓝知识竞赛,摇尾乞怜,"这个成语最初指的是动物的一种行为，意思是装出一副可怜相向人讨好。词中有动物的一个后部的器官。"
100,【X3】,第一届随蓝知识竞赛,谢道韫,"这位才女出身名门，是王羲之的儿媳，谢安的侄女。有“咏絮之才”。吟过“未若柳絮因风起”。"
101,【Z5】,第一届随蓝知识竞赛,竹喧归浣女,"这句诗描写的是山中初秋时节的雨后，女子洗衣服回来的情景。"
102,【F7】,第一届随蓝知识竞赛,飞入菜花无处寻,"这句诗的意思是：“孩子们要追我啦，我躲，他们找不到我！”写的是蝴蝶。是杨万里在徐公店所写。"
103,【H7】,第一届随蓝知识竞赛,花落人亡两不知,"这是一首诗的最后一句，描述的是春天将尽，人老去的结果。出自《红楼梦》中的《葬花吟》。"
104,【F2】,第一届随蓝知识竞赛,浮云,"1.富贵 2.游子 3.不义 4.神马"
105,【S3】,第一届随蓝知识竞赛,山无陵,"这句诗出自一首乐府民歌，是女主人公与所爱之人绝交的第一个条件。"
106,【L7】,第一届随蓝知识竞赛,零丁洋里叹零丁,"在这句诗，以及它的上一句中，作者巧用地名感慨自己的不幸。出自文天祥的《过零丁洋》。"
107,【J5】,第一届随蓝知识竞赛,碱式碳酸铜,"这种物质在自然界中以孔雀石的形式存在，是铜在空气中“生锈”的产物，又叫“铜绿”"
108,【C3】,第一届随蓝知识竞赛,从军行,"杨炯、王昌龄等诗人都写过这个题目，王昌龄写过7首，有名句“不破楼兰终不还”。"
109,【G3】,第一届随蓝知识竞赛,广陵散,"这是一部古琴曲，据传是幽灵传于嵇康。嵇康于临死前称其绝矣。"
110,【L2】,第一届随蓝知识竞赛,零度,"1.可乐 2.冰水 3.子午 4.绝对"
111,【Q3】,第一届随蓝知识竞赛,清平调,"这组诗共三首，描写的是杨贵妃，是李白为唐玄宗所作。“春风拂槛露华浓”出自这组诗。"
112,【Z2】,第一届随蓝知识竞赛,正色,"这个词有态度严肃的意思，在古代也特指几种纯色，和“间色”相对。"
113,【M4】,第一届随蓝知识竞赛,梅兰竹菊,"1.邮票 2.花名 3.麻将 4.四君子"
114,【Z4】,第一届随蓝知识竞赛,在水一方,"这是《诗经》中的一句，也是一首歌的名字，写出了一位美女的位置。出自《蒹葭》。"
115,【L3】,第一届随蓝知识竞赛,李龟年,"1.相思 2.乐师 3.江南 4.岐王"
116,【T6】,第一届随蓝知识竞赛,条件状语从句,"这是英语中的一种句型，指某一件事情实现之后，其它事情才能发生。通常由if或者unless引导。"
117,【D7】,第一届随蓝知识竞赛,东边日出西边雨,"这句诗描写的天气现象是太阳雨。下句是“道是无晴却有晴。"
118,【L7】,第一届随蓝知识竞赛,柳暗花明又一村,"这句诗告诉我们，即使面前是重山峻岭，前方也存在希望。是陆游去山西村所写。"
119,【J4】,第一届随蓝知识竞赛,建安七子,"这是几位文学家的合称，他们大体上代表了那个时代除了三曹以外的优秀文学家。"
120,【D6】,第一届随蓝知识竞赛,都门帐饮无绪,"这句词说的是明明要分开了，想好好喝酒，但却没有心情。出自柳永的《雨霖铃》。"
121,【F3】,第一届随蓝知识竞赛,方程式,"1.未知 2.赛车 3.相等 4.反应"
122,【Z6】,第一届随蓝知识竞赛,整体认读音节,"这个词指拼音中不用拼读即直接读出的音节。共16个。"
123,【H4】,第一届随蓝知识竞赛,黄金分割/黄金比例,"将一条线段分割为两部分后，这个比值既是较大部分与全长的比值，也等于较小部分与较大部分的比值。约为0.618。"
124,【W2】,第一届随蓝知识竞赛,微软,"这家美国公司是计算机软件的先导，创办于1975年，创办者是比尔盖茨。"
125,【C4】,第一届随蓝知识竞赛,惨淡经营,"这个成语原指绘画之前的精心构思，现形容苦心筹划，营谋某事。出自杜甫《丹青引赠曹将军霸》"
126,【X3】,第一届随蓝知识竞赛,许海峰,"这是一位射击运动员，他获得了中国奥运史上的第一枚金牌。"
127,【B5】,第一届随蓝知识竞赛,白头搔更短,"这句诗描写了脱发的现象，原因是作者目睹了国家的衰败，他的头上快插不了簪子了。"
128,【K2】,第一届随蓝知识竞赛,夸克,"这是一种参与强相互作用的基本粒子，甚至比电子还小，只能在强子里被找到。"
129,【J2】,第一届随蓝知识竞赛,甲醛,"这是一种无色气体，易溶于水和乙醇。40%水溶液被称为福尔马林。新装修房间里可能有残留。"
130,【P7】,第一届随蓝知识竞赛,怕得鱼惊不应人,"这句诗写了一个小孩的心理活动，他为了不影响手头的事情而没有理会问路的人。他正在钓鱼。"
131,【G4】,第一届随蓝知识竞赛,光荣革命,"这是一场没有暴力的政变，发生于英国，它推翻了詹姆士二世的统治，次年英国通过了《权利法案》。"
132,【K7】,第一届随蓝知识竞赛,肯将衰朽惜残年,"这句诗是个反问句，写于被贬的途中，作者认为自己在为皇上做事，不能因衰老而吝惜生命。"
133,【L4】,第一届随蓝知识竞赛,犁生骍角,"这个词比喻劣父有好的儿女，本意是杂色牛生纯赤色，角周正的小牛。"
134,【X4】,第一届随蓝知识竞赛,心有灵犀,"这个成语比喻十分默契，据说与一种动物的角有关。李商隐《无题》中使用过。"
135,【Q5】,第一届随蓝知识竞赛,萋萋满别情,"这句诗是一首应考作品的最后一句，描写了送别友人时青草茂盛的样子。这首诗也是描写草的经典作品。"
136,【E2】,第一届随蓝知识竞赛,鸸鹋,"这是世界第二大鸟，也叫澳洲鸵鸟，是澳大利亚的特产。"
137,【J2】,第一届随蓝知识竞赛,剪刀,"1.春风 2.石头 3.裁缝 4.燕尾"
138,【Z2】,第一届随蓝知识竞赛,组距,"这个词指将数据分为若干组后每组数据的最大值与最小值之差，可以方便画直方图。"
139,【S3】,第一届随蓝知识竞赛,双曲线,"这一图形可以定义为与两个定点的距离差是常数的轨迹。反比例函数的图像也是这个图形。"
140,【C4】,第一届随蓝知识竞赛,春树暮云,"这个成语可以表达对远方友人的思念，字面上是渭北和江东的两种景物，出自杜甫的《春日忆李白》。"
141,【B7】,第一届随蓝知识竞赛,不辞长作岭南人,"这是作者面对美食愿意做出的让步，他认为自己可以生活在蛮夷之地，只要每天吃足够的荔枝。"
142,【M7】,第一届随蓝知识竞赛,梦里不知身是客,"这句词是作者望着室外的雨所想，他觉得在梦中能享受片刻欢愉，忘掉自己的处境。"
143,【W7】,第一届随蓝知识竞赛,为赋新词强说愁,"这句词写的是年轻时不懂事而无病呻吟，只为写出作品的样子。"
144,【W3】,第一届随蓝知识竞赛,望海潮,"该词牌正体双调一百零七字，创调者是柳永，他的这首词写的是杭州的繁华景象"
145,【L2】,第一届随蓝知识竞赛,联想,"1.电脑 2.张信哲 3.思维 4.题型"
146,【Q7】,第一届随蓝知识竞赛,轻烟散入五侯家,"这句诗写的是一个禁火的日子里少数权贵宠臣依然可以获得燃烛的传统。"
147,【J3】,第一届随蓝知识竞赛,剪羊毛,"这首澳大利亚民歌描述了牧场的生活，与当地常见的一种动物有关。"
148,【H4】,第一届随蓝知识竞赛,海伦公式,"这一公式以一位古希腊人的名字命名，在中国宋代被称为“三斜求积术”，由秦九韶提出。该公式给出了已知三角形三边长，求其面积的方法。"
149,【X2】,第一届随蓝知识竞赛,谢脁/谢朓,"这位山水诗人出身贵族，有以他名字命名的楼，李白曾登此楼写下“中间小谢又清发”。小谢就是这位诗人。"
150,【C5】,第一届随蓝知识竞赛,超级马里奥,"这是任天堂的一款经典游戏，主人公是一个水管工，他吃蘑菇可以长大。"
151,【S2】,第一届随蓝知识竞赛,声呐,"这是一种利用声波在水下的传播特性，通过电声转换和信息处理，完成水下探测和通讯任务的电子设备。全称为声音导航与测距"
152,【B7】,第一届随蓝知识竞赛,白发渔樵江渚上,"这句词写的是作者被发配充军时看到的在江边喝酒的两个不同职业的人，这首词也是电视剧《三国演义》的开篇词。"
153,【C3】,第一届随蓝知识竞赛,陈圆圆,"这是一位美女，是秦淮八艳之一，“冲冠一怒为红颜”的红颜指的就是她。"
154,【T4】,第一届随蓝知识竞赛,通货膨胀,"这个词指在货币流通条件下，因货币供给大于货币实际需求，导致货币贬值，一段时间内物价上涨的现象。"
155,【J2】,第一届随蓝知识竞赛,锦瑟,"这是李商隐的代表作，也是他最晦涩难懂的一首诗，“只是当时已惘然”出自这首诗。"
156,【Y4】,第一届随蓝知识竞赛,鱼传尺素,"这个成语最早出自《饮马长城窟行》，比喻书信。秦观曾在踏莎行中与驿寄梅花连用。"
157,【J5】,第一届随蓝知识竞赛,金陵十二钗,"这是红楼梦的别名，也指书中的一群女子，前两字是地名。"
158,【H4】,第一届随蓝知识竞赛,害群之马,"这是个成语，英语中用black sheep来表达同样意思，指危害集体的人，成语中也有一种动物。"
159,【Z3】,第一届随蓝知识竞赛,总统府,"1.七条 2.台湾/南京 3.建筑 4.蒋介石"
160,【F2】,第一届随蓝知识竞赛,风筝,"1.孙燕姿 2.富兰克林 3.潍坊 4.纸鸢"
161,【L2】,第一届随蓝知识竞赛,李蟠,"这位进士是韩愈的弟子，喜欢古文，是韩愈《师说》的赠与对象。"
162,【D5】,第一届随蓝知识竞赛,但惜夏日长,"这句诗写出了割麦子的人不畏炎热的原因。出自白居易的《观刈麦》"
163,【A3】,第一届随蓝知识竞赛,阿加莎,"这位英国作家被称为推理女王，绰号“阿婆”，代表作有《无人生还》等。"
164,【A4】,第一届随蓝知识竞赛,阿基米德,"1.希腊 2.内切球 3.浮力 4.杠杆"
165,【G2】,第一届随蓝知识竞赛,桂花,"1.八月 2.一流 3.冷露 4.春山"
166,【Q5】,第一届随蓝知识竞赛,青青园中葵,"这是一首乐府诗首句，写了一种植物，提醒人们珍惜时间。"
167,【F9】,第一届随蓝知识竞赛,赴戍登程口占示家人,"这组诗共两首，其第二首最为著名。它是诗人在西安与家人分别，被贬伊犁时所作。其中流传千古的两句是“苟利国家生死以，岂因祸福避趋之”"
168,【X3】,第一届随蓝知识竞赛,雪绒花,"这是一种植物，《音乐之声》中有同名插曲，英文名为edelweiss。"
169,【H3】,第一届随蓝知识竞赛,浣溪沙,"1.西施 2.韩偓 3.无可奈何 4.词牌名"
170,【J5】,第一届随蓝知识竞赛,寂寞沙洲冷,"这句词也是一首歌的名字。诗描写的是孤鸿，它找遍了树枝，却最终降落在沙洲上。"
171,【G3】,第一届随蓝知识竞赛,公有制,"这是一种经济制度，该制度下生产资料归劳动者共同所有。是我国经济制度的主体。"
172,【Y7】,第一届随蓝知识竞赛,元是今朝斗草赢,"这句词描写的是古代少女的一项娱乐活动，上句写了女主人公在前一晚做了好梦，这句写了这个梦是能赢得这场斗草游戏的预兆。"
173,【Z7】,第一届随蓝知识竞赛,坐看牵牛织女星,"这句诗描写了七夕时宫女们的行动。作者是杜牧。上句是“天阶夜色凉如水”。"
174,【X4】,第一届随蓝知识竞赛,夏雨雨人,"这个成语比喻对人及时的教化，就好像是一个季节的天气给人以滋润。类似的成语还有“春风风人”。"
175,【Q11】,第一届随蓝知识竞赛,秋夜将晓出篱门迎凉有感,"这组诗共两首。表达了自己爱国却无能为力的心情。第一首写了自己被病折磨，头发发白；第二首写了中原人民受压迫，年年希望王师北伐。"
176,【E3】,第一届随蓝知识竞赛,二维码,"1.黑白 2.正方形 3.QR 4.扫描"
177,【M3】,第一届随蓝知识竞赛,梦微之,"这首悼亡诗是白居易梦见好友后所写，有名句“君埋泉下泥销骨，我寄人间雪满头”。该诗是在元稹去世九年后所作。"
178,【Q2】,第一届随蓝知识竞赛,麒麟,"1.墨玉 2.手臂 3.神兽 4.卢俊义"
179,【K4】,第一届随蓝知识竞赛,控制面板,"这是计算机中用户界面的一部分，允许用户查看并操作基本的系统设置，比如控制用户帐户，更改辅助功能选项等。"
180,【Z3】,第一届随蓝知识竞赛,张格尔,"这个人是萨木萨克的后裔，道光年间在浩罕汗国的支持下入侵了七城，几乎占领了全部南疆，后来在扬威将军长龄的反击下战败被擒，被押送北京处死。"
181,【L2】,第一届随蓝知识竞赛,庐山,"1.江西 2.香炉 3.西林寺 4.真面目"
182,【X3】,第一届随蓝知识竞赛,小蛮腰,"1.白居易 2.广州 3.身材 4.杨柳"
183,【H4】,第一届随蓝知识竞赛,火影忍者,"这是一部已完结的日本动漫，作者为岸本齐史，主角为漩涡鸣人。"
184,【H2】,第一届随蓝知识竞赛,菡萏,"这是荷花的别称，也指未开的荷花，李商隐称其为“卷舒开合任天真”。"
185,【N2】,第一届随蓝知识竞赛,内能,"这个词指的是组成物体分子的无规则热运动动能和分子间相互作用势能的总和。与温度有关。"
186,【D2】,第一届随蓝知识竞赛,玳瑁,"这是一种有机宝石，主要来源为一种同名海龟。有一种猫也叫这个名字。沈佺期的“卢家少妇郁金堂”下句提到过。"
187,【X2】,第一届随蓝知识竞赛,向量,"这个词在数学上可以用带箭头的线段表示，它指同时具有大小和方向的量，也称矢量。"
188,【D4】,第一届随蓝知识竞赛,丹霞地貌,"这是以陆相为主的红层发育的具有陡崖坡的地貌。首字便有“红”的意思"
189,【S7】,第一届随蓝知识竞赛,深处种菱浅种稻,"这句诗体现了“因地制宜”的思想，是清朝的阮元所写，下句是“不深不浅种荷花”。"
190,【W5】,第一届随蓝知识竞赛,万户捣衣声,"这句诗从听觉上描写了秋夜的长安城内人们赶制寒衣的情景。出自李白的《子夜吴歌》。"
191,【Y5】,第一届随蓝知识竞赛,饮中八仙歌,"这是杜甫的作品，该作品写了好饮的“酒中八仙人”，“天子呼来不上船”便出自此作。"
192,【C7】,第一届随蓝知识竞赛,春风不改旧时波,"这句诗写的是作者时隔多年重回家乡后看见的仍然不变的湖水，作者是贺知章。"
193,【Z2】,第一届随蓝知识竞赛,张籍,"这是韩愈的弟子，他曾以吃啥补啥为由，把杜甫诗作烧成灰，每日食用三勺。此人因乐府诗与王建齐名，合称“张王乐府”。"
194,【W4】,第一届随蓝知识竞赛,吴下阿蒙,"这个成语指的是人才疏学浅，但该成语最初所指的人在后来有了转变。是三国时期吕蒙的故事。"
195,【H2】,第一届随蓝知识竞赛,蝴蝶,"1.泉 2.兰 3.效应 4.梁祝"
