id,level,word,competition,flag,pinyin,definition,example
10097,2,公署,N,0,gōng shǔ,官员办公的处所。,
10098,1,公帑,H,0,gōng tǎng,公款。,【例句】《旧五代史・汉书・李皇后传》高祖建义於太原，欲行颁赉於军士，以公帑不足，议率井邑，助成其事。
10099,1,宫绦,N,0,gōng tāo,宫中特制或仿照宫样所制的丝带。,【例句】清・曹雪芹《红楼梦》裙边系着豆绿宫绦，双衡比目玫瑰佩。
10100,1,觥觞,Y,0,gōng shāng,泛指酒器。引申为酬酢。,【例句】清・归庄《题墨竹寿叶允文》兹偶作数枝，岁寒之姿，荦然出群，以为胜于觥觞筐篚之纷纷也，故以寿我允文。
10101,1,觥筵,L,0,gōng yán,酒席。,【例句】宋・曾巩《幽谷晚饮》觥筵已得月，金纨尚围坐。
10102a,2,栱桷,Y,0,gǒng jué,栱和桷。泛指微细之材。,【例句】明・余继登《典故纪闻》但任人之道，大小轻重各适其宜，若委重於轻，是以栱桷而为梁栋。
10102b,2,栱桷,W,0,gǒng jué,泛指微细之材。,【例句】明・余继登《典故纪闻》但任人之道，大小轻重各适其宜，若委重於轻，是以栱桷而为梁栋。
10103,3,共识,N,0,gòng shí,所有人认同的事情。,
10104,3,贡品,N,0,gòng pǐn,进贡的东西。,
10105,1,高舂,Y,0,gāo chōng,日影西斜近黄昏时。,【例句】《淮南子・天文训》至于渊虞，是谓高舂；至于连石，是谓下舂。
10106,1,芙蕖,X,0,fú qú,荷花的别称。,
10107,1,高躅,H,0,gāo zhú,崇高的品行。,【例句】《晋书・隐逸传赞》确乎羣士，超然绝俗，养粹巖阿，销声林曲。激贪止竞，永垂高躅。
10108,1,沟渎,P,0,gōu dú,沟渠。,【例句】《易・说卦》坎为水，为沟渎。
10109,1,沟壑,H,0,gōu hè,深谷。,
10110,1,沟洫,N,0,gōu xù,沟渠。,【例句】晋・左思《蜀都赋》沟洫脉散，疆里绮错，黍稷油油，稉稻莫莫。
10111a,2,篝火,N,0,gōu huǒ,指在空旷处或野外架木柴、树枝燃烧的火堆。,
10111b,2,篝火,T,0,gōu huǒ,指用笼子罩着的火,
10112,1,狗彘,H,0,gǒu zhì,狗和猪。,
10113,1,耇长,N,0,gǒu zhǎng,年长之人。,【例句】《书・微子》咈其耇长，旧有位人。
10114,1,垢圿,P,0,gòu jiá,身上的污垢。,方言。
10115,1,孤耿,Q,0,gū gěng,谦词，犹言自己的心意。,【例句】苏洵《与欧阳内翰书三》阁下当时赐音问，以慰孤耿。
10116a,2,孤雊,P,0,gū gòu,独鸣。比喻特立独行，不随波逐流。,【例句】唐・韩愈《祭郴州李使君文》遭脣舌之纷罗，独陵晨而孤雊。彼憸人之浮言，虽百车其何诟？
10116b,2,孤雊,Y,0,gū gòu,独鸣。比喻特立独行，不随流俗。,【例句】唐・韩愈《祭郴州李使君文》遭脣舌之纷罗，独陵晨而孤雊。彼憸人之浮言，虽百车其何诟？
10117,1,觚卢,K,0,gū lú,葫芦。,【例句】《汉书・司马相如传上》东蘠雕胡，莲藕觚卢。
10118,2,股肱,H,0,gǔ gōng,比喻得力助手。,
10119,1,骨力,K,0,gǔ lì,指书画诗文刚健雄劲的风格。,【例句】明・胡应麟《诗薮・古体中》魏武沉深古朴，骨力难侔。
10120,1,骨殖,P,0,gǔ shi,死人的骨头。,【例句】《水浒传》：“何九叔对老婆道：‘你说这话正是了。我至期。只去偷骨殖便了。’”
10121,1,蛊弊,Y,0,gǔ bì,事情积久形成的弊病。,【例句】元・王祯《农书》凡欲振发而饬其蛊弊，使之率作兴事耳。
10122,1,故畴,P,0,gù chóu,故土，故乡。,【例句】晋・陆云《岁暮赋》望故畴之迥辽兮，泝南风而颓泣。
10123,3,顾客,N,0,gù kè,商店、服务产业前来消费的人群。,
10124,3,顾虑,M,0,gù lǜ,需要三思而牵绊的内容。,
10125,1,痼疾,H,0,gù jí,顽疾。,
10126a,2,瓜葛,P,0,guā gě,指相互牵连的关系。,
10126b,2,瓜葛,H,0,guā gě,指相互牵连的关系。,
10127,1,瓜㼑/瓜练,P,0,guā liàn,瓤。,【例句】明・李时珍《本草纲目・菜三・冬瓜》其瓤谓之瓜练。白虚如絮，可以浣练衣服。
10128,2,瓜瓤,H,0,guā ráng,葫芦科植物果实的果肉。,
10129,1,诖谬,P,0,guà miù,谬误。,【例句】宋・宋祁《谢复侍读学士表》祓前尤之诖谬，艳来宠之便蕃，抚已衔荣，无颜容愧。
10130,1,乖差,P,0,guāi chā,差错。,【例句】《楚辞・刘向》虽謇謇以申志兮，君乖差而屏之。
10131a,2,怪癖,H,0,guài pǐ,奇怪的嗜好。,
10131b,2,怪癖,N,0,guài pǐ,指与众不同的爱好、癖好。,
10132,1,关捩,H,0,guān liè,能转动的机械装置。比喻紧要处。,【例句】元・耶律楚材《和贾抟霄韵二绝》祖师点破新关捩，直指人心教外传。
10133,1,官俸,Y,0,guān fèng,当官的工资。,
10134,3,官府,N,0,guān fǔ,官员工作的场所。,
10135a,2,官僚,N,0,guān liáo,地位较高的官员。,
10135b,2,官僚,W,0,guān liáo,泛指官员、官吏，现在一般特指脱离群众的官员。,
10136,2,鳏夫,N,0,guān fū,老年丧妻的男人。,
10137,3,丱,H,0,guàn,古代儿童束的上翘的两只角辫。,
10138,1,冠珥,N,0,guān ěr,指首饰与耳饰。,【例句】宋・郭彖《睽车志》见数妇人各买冠珥以入。
10139,2,盥洗室,H,0,guàn xǐ shì,装有洗手洗脸设备的卫生间。,
10140,1,爟烽,Y,0,guàn fēng,烽火。,【例句】南朝陈・徐陵《广州刺史欧阳頠德政碑》披羽檄，夜照爟烽。
10141,1,广袤,N,0,guǎng mào,土地的长和宽。,
10142,1,广衍,X,0,guǎng yǎn,广阔的平地。衍，广而平坦。,【例句】张衡《西京赋》尔乃广衍沃野，厥田上上。
10143,1,归桡,L,0,guī ráo,归舟。,【例句】唐・戴叔伦《戏留顾十一明府》诗未可动归桡，前程风浪急。
10144,1,圭璋,H,0,guī zhāng,玉制的礼器。比喻高尚的人品。,【例句】《庄子・马蹄》白玉不毁，孰为珪璋。
10145,3,规范,N,0,guī fàn,约定俗成的标准。,
10146,3,规律,W,0,guī lǜ,事物发展遵循的一定法则。,
10147,1,瑰宝,H,0,guī bǎo,特别珍贵的东西。,
10148,1,瑰癖,Y,0,guī pì,非同寻常的嗜好。,【例句】清・龚自珍《己亥杂诗》瑰癖消沉结习虚，一篇《典宝》古文无。
10149,3,鬼畜,K,0,guǐ chù,以高度同步、快速重复的素材配合BGM的节奏来达到喜感或者洗脑的效果。,
10150,3,鬼蜮,N,0,guǐ yù,指害人的鬼和怪物，比喻阴险的人。,【例句】宋・苏轼《孔北海赞》而曹操阴贼险狠，特鬼蜮之雄者耳。
10151,1,桂魄,W,0,guì pò,代指月亮。,【例句】唐・王涯《秋夜曲》桂魄初生秋露微，轻罗已薄未更衣。
10152,1,桧楫,H,0,guì jí,桧木作的船桨。借指舟船。,【例句】《诗・卫风・竹竿》淇水滺滺，桧楫松舟。
10153,3,牊,W,0,cháo,床。,
10154,1,郭郛,H,0,guō fú,内城和外城。,见郛郭。
10155,1,国徽,N,0,guó huī,国徽是代表国家的徽章、纹章。,
10156,1,国计,K,0,guó jì,治国的方针大计或国家的经济、国家的财富。,
10157,1,国桢,P,0,guó zhēn,国家栋梁。,
10158,3,哈巴狗,X,0,hǎ ba gǒu,比喻驯顺的奴才。,
10159,1,海湄,L,0,hǎi méi,海边。,【例句】唐・李白《公无渡河》虎可搏，河难凭，公果溺死流海湄。
10160,1,海澨,H,0,hǎi shì,海滨。,【例句】明・黄道周《节寰袁公传》又公为苏理时，以汛期出海澨。
10161,1,醢石,Y,0,hǎi shí,一种怪石。,【例句】唐・段成式《酉阳杂俎・物异》醢石，成式羣从有言：少时尝毁鸟巢，得一黑石，如雀卵，圆滑可爱，后偶置醋器中，忽觉石动，徐视之，有四足如蜒，举之，足亦随缩。
10162,1,函电,Y,0,hán diàn,信和电报的总称。,
10163,1,寒荄,L,0,hán gāi,指枯草的根。,【例句】南朝梁・沉约《愍衰草赋》憔悴荒径中，寒荄不可识。
10164a,2,寒畯,N,0,hán jùn,出身寒微而才能杰出的人。,【例句】宋・赵彦卫《云麓漫钞》若本朝尚科举，显人魁士皆出寒畯。
10164b,2,寒畯,W,0,hán jùn,出身寒微而才能杰出的人。,【例句】宋・赵彦卫《云麓漫钞》若本朝尚科举，显人魁士皆出寒畯。
10165a,3,寒门,N,0,hán mén,古代专指门第势力较低的世家。,
10165b,3,寒门,K,0,hán mén,贫贱家庭。,
10166,1,寒梢,N,0,hán shāo,秋天的树梢。,【例句】宋・张元干《卜算子・芳信着寒梢》芳信着寒梢，影入花光画。
10167,1,寒树,Y,0,hán shù,常绿而生寒的树。,
10168,1,罕车,X,0,hǎn chē,打猎的车。,【例句】杨雄《羽猎赋》及至罕车飞扬，武骑聿皇。
10169,1,旱湛,Y,0,hàn zhàn,大旱和久雨。,【例句】汉・王充《论衡・案书》阴阳相混，旱湛相报。
10170,2,菡萏,H,0,hàn dàn,荷花。,【例句】唐・李商隐《赠荷花》唯有绿荷红菡萏，卷舒开合任天真。
10171,1,翰墨,H,0,hàn mò,笔和墨，借指文章书画等。,
10172a,3,嚆矢,L,0,hāo shǐ,响箭，有声的箭在发射时，先闻其声，后见箭至。,【例句】《庄子・在宥》：“吾未知圣知之不为桁杨接槢也，仁义之不为桎梏凿枘也，焉知曾史之不为桀跖嚆矢也！”
10172b,3,嚆矢,P,0,hāo shǐ,响箭，有声的箭在发射时，先闻其声，后见箭至。,【例句】《庄子・在宥》：“吾未知圣知之不为桁杨接槢也，仁义之不为桎梏凿枘也，焉知曾史之不为桀跖嚆矢也！”
10172c,3,嚆矢,H,0,hāo shǐ,带响声的箭，比喻事物的开端或先行者。,【例句】《庄子・在宥》焉知曾史之不为桀跖嚆矢也。
10173,1,芥蒂,H,0,jiè dì,细小的梗塞物。引申为梗塞。,
10174,3,竓,W,0,háo,毫升。,
10175,1,豪大,K,0,háo dà,主帅，首领。,
10176,1,颢气,H,0,hào qì,清新洁白盛大之气。,【例句】宋・邵雍《秋游》先秋颢气已潜生，洛邑方知节候平。
10177,1,菰蒲,H,0,gū pú,菰和蒲，借指湖泽。,【例句】唐・曹松《赠南陵李主簿》簟席弹棋子，衣裳惹印朱。仍闻陂水近，亦拟掉菰蒲。
10178,1,酣酡,P,0,hān tuó,像酒醉脸红一样的色泽。,【例句】清・张岱《陶庵梦忆・鲁府松棚》鲁宪王晚年好道，尝取松肘一节，抱与同卧，久则滑泽酣酡，似有血气。
10179,3,核心,N,0,hé xin,中心，重要部分。,
10180,1,翮翰,N,0,hé hàn,羽翼。,【例句】赵朴初《毛主席挽诗》：“当年立志拔‘三山’，终见神州奋翮翰。”
10181,1,黑溲溲,P,0,hēi sōu sōu,形容黑色的粗食。,
10182,1,衡纩,Y,0,héng kuàng,比喻势利的眼光。,【例句】刘孝标《广绝交论》驰骛之俗，浇薄之伦，无不操权衡，秉纤纩。
10183,1,衡梠,P,0,héng lǘ,屋檐的横木。比喻微才。,【例句】宋・沈括《谢转运启》侏儒衡梠之至微，收罗蕴崇而不弃。
10184,1,薨殁,H,0,hōng mò,死亡。,【例句】北齐・颜之推《颜氏家训・风操》自阮修容薨殁之后，此事亦绝。
10185,3,红旗,N,0,hóng qí,红色的旗子。,
10186,1,红粟,P,0,hóng sù,储藏过久而变为红色的陈米。亦指丰足的粮食。,【例句】宋・王禹偁《赠吕通秘丞》闻君公事苦喧卑，红粟堆边独敛眉。
10187,1,宏图,Y,0,hóng tú,伟大的规划。,
10188,1,鸿谟,Y,0,hóng mó,远大的谋略。,【例句】明・张居正《答王鉴川书》诚高见渊识，石画鸿谟，非公爱我之深，曷得闻此。
10189,1,后鞧,H,0,hòu qiú,套车时拴在驾辕牲口屁股周围的皮带、帆布带等。或猪的臀部肉的称呼。,
10190,1,后裔,N,0,hòu yì,子孙后代。,
10191,1,忽微,K,0,hū wēi,微小的事。,
10192,1,囫囵竹,Y,0,hú lún zhú,比喻糊涂，不明事理。,【例句】明・施耐庵《水浒传》好个囫囵竹的长老！
10193a,2,狐疑,M,0,hú yí,犹豫不决。,
10193b,2,狐疑,N,0,hú yí,狐狸生性多疑，也形容人因多疑而犹豫不决。,
10194,1,胡考,F,0,hú kǎo,年纪大；老年人。,【例句】《诗・周颂・载芟》有飶其香，邦家之光；有椒其馨，胡考之寧。
10195,1,猢狲,H,0,hú sūn,猴子。,
10196,1,湖畔,N,0,hú pàn,湖边。,
10197,1,护页,Y,0,hù yè,封面。,
10198,1,瓠壶,N,0,hù hú,口小腹大的容器，比喻虚有其表。,【例句】《三国志・蜀志・张裔传》张府君如瓠壶，外虽泽而内实粗。
10199a,2,扈从,H,0,hù cóng,随从。,【例句】汉・司马相如《上林赋》孙叔奉辔，卫公参乘，扈从横行，出乎四校之中。
10199b,2,扈从,Y,0,hù cóng,皇帝出巡时的护驾人员。,【例句】汉・司马相如《上林赋》孙叔奉辔，卫公参乘，扈从横行，出乎四校之中。
10200,1,华颠,W,0,huá diān,白头，年老。,【例句】唐・卢肇《被谪连州》黄绢外孙翻得罪，华颠故老莫相嗤。
10201,1,画桡,W,0,huà ráo,装饰漂亮的游船。,【例句】唐・方干《采莲》指剥春葱腕似雪，画桡轻拨蒲根月。
10202,1,桦皮脸,P,0,huà pí liǎn,厚脸皮。不知羞耻的人。,
10203,1,槐铉,Y,0,huái xuàn,槐鼎。,【例句】《宋书・符瑞志下》臣以寡立，承乏槐铉，沐浴芳津，预覩冥庆。
10204,1,萑蒲,H,0,huán pǔ,盗贼出没之处。也指盗贼；草寇。,【例句】《陈书・留异传》萑蒲小盗，共肆贪残。
10205,3,荒,L,0,huāng,长满野草的沼泽地。,
10206,1,荒外,K,0,huāng wài,未开化的边远地区。,【例句】《后汉书・班超传》夫要功荒外，万无一成，若兵连祸结，悔无及已。
10207,3,皇宫,Y,0,huáng gōng,天子办公住宿的处所。,
10208,1,皇冕,N,0,huáng miǎn,皇冠。,
10209,1,黄颔,Y,0,huáng hàn,形容年少。,【例句】《北齐书・平秦王归彦传》使黄颔少儿牵挽我，何可不反？
10210,2,津逮,T,0,jīn dài,通过一定的途径而达到,【例句】清・卢见曾《刻封氏闻见记序》《年号录》、《钱谱》二书并亡，唯《闻见记》独存，然流传绝少，故《稗海》、《秘笈》诸刻罕津逮焉。
10211,1,隅中,W,0,yú zhōng,即将正午的时候,【例句】《淮南子・天文训》至於衡阳，是谓隅中；至於昆吾，是谓正中。
10212,3,版面,Q,0,bǎn miàn,印刷好的页张，包括图文、余白整个部分。,
10213,1,叔世,P,0,shū shì,衰乱的时代。,【例句】《左传・昭公六年》：“三辟之兴，皆叔世也。”
10214,1,泔淡,Y,0,gān dàn,盛满；充满。,【例句】唐・颜真卿《登岘山观李左相石尊联句》流霞方泔淡，别鹤遽翩翻。
10215,1,宗贯,W,0,zōng guàn,主旨。,【例句】明李贽《圣教小引》：“五十以后，大衰欲死，因得友朋劝诲，翻阅贝经，幸於生死之原窥见斑点，乃复研穷《学》《庸》要旨，知其宗贯，集为《道古》一録。”
10230a,2,皇宁/遑宁,W,0,huáng níng,闲适。,【例句】唐・柳宗元《涂山铭》：“方岳列位，奔走来同。山川守神，莫敢遑宁。”
10230b,2,皇宁/遑宁,Y,0,huáng níng,安逸，安宁。,【例句】唐・柳宗元《涂山铭》方岳列位，奔走来同。山川守神，莫敢遑宁。
10231,1,潢污,Y,0,huāng wū,诚信。,【例句】明・李东阳《与潘南屏纳徵启》讵云筐篚之多仪，少效潢污之可荐。
10232,1,璜渚,Y,0,huáng zhǔ,磻溪中的石渚。,【例句】唐・张说《赠户部尚书杨君神道碑》乃濯缨璜渚，献策金门。
